date,Tax,Dip,Correction,Bubble,Bots,Airdrop,Github,Launch,Flippening,Shilling,Marketcap,FOMO_theme,FUD_theme,Fees,(De-)centralisation,Hodling,Whales,Rebranding,Roadmap,Bug,Fork,Wallet,Open_source,Partnerships,Whitepaper,Pump_and_dump,Ban,Community,ICO,Bottom,ETF,Volume,Leverage,Stablecoin,FOMO,Hopeful,Negative,Bearish,Pessimistic/Doubtful,Sad,Fearful/Concerned,Angry,Uncertain,Mistrustful,Panicking,Stressed,Disappointed,Annoyed/Frustrated,Capitulating,Positive,Bullish,Optimistic,Happy,Euphoric/Excited,Trustful,Regulation/Politics,Adoption,Learning,Problems_and_issues,Price,Cheap,Expensive,Volatility,Crash,Recovery,Investing/Trading,Buying,Selling,Going_short,Waiting,Portfolio,Strategy,Due_diligence,Getting_rich,Short_term_trading,Technical_analysis,Long_term_investing,Risk,Institutional_money,Banks,Hacks,Scam/Fraud,Market_manipulation,Announcements,Progress,Marketing,Exchanges,Listing,Governance,Use_case/Applications,Market_potential,Business_model,Vision/Mission,Competition,Team,Token_economics,Transparency,Technology,Scaling,Security,Privacy,Mining,Prediction,Warning,Announcement,Rumor,Advice/Support,Newbie_comment,Spam,Price_report,News_headline,Good_news,Bad_news
2016-11-01,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,12.0,16.0,2.0,6.0,0.0,3.0,4.0,1.0,10.0,0.0,1.0,28.0,0.0,0.0,18.0,9.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,0.0,7.0,9.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,2.0,11.0,1.0,0.0,10.0,0.0,0.0,0.0,12.0,4.0,2.0,0.0,42.0,0.0,1.0,25.0,10.0,6.0,0.0,1.0,0.0,27.0,0.0,12.0,2.0,35.0,22.0,6.0
2016-11-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,13.0,10.0,2.0,6.0,0.0,0.0,9.0,2.0,12.0,0.0,1.0,25.0,0.0,0.0,24.0,12.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,8.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,10.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,48.0,0.0,1.0,25.0,13.0,5.0,0.0,0.0,0.0,14.0,0.0,16.0,3.0,30.0,11.0,3.0
2016-11-03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,17.0,12.0,3.0,4.0,0.0,0.0,9.0,3.0,24.0,1.0,0.0,36.0,1.0,0.0,25.0,8.0,0.0,11.0,3.0,5.0,2.0,0.0,0.0,1.0,19.0,1.0,1.0,11.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,17.0,1.0,0.0,5.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,67.0,0.0,2.0,34.0,13.0,7.0,0.0,4.0,0.0,14.0,0.0,13.0,3.0,63.0,39.0,5.0
2016-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,8.0,0.0,17.0,19.0,6.0,7.0,0.0,2.0,5.0,1.0,15.0,2.0,2.0,29.0,0.0,0.0,24.0,8.0,4.0,13.0,2.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,1.0,9.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,1.0,0.0,10.0,1.0,0.0,0.0,11.0,2.0,0.0,0.0,49.0,0.0,0.0,28.0,8.0,7.0,0.0,0.0,1.0,22.0,0.0,9.0,3.0,42.0,24.0,3.0
2016-11-05,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,10.0,9.0,4.0,6.0,0.0,0.0,2.0,1.0,16.0,2.0,0.0,24.0,0.0,0.0,15.0,4.0,0.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,4.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,12.0,4.0,0.0,5.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,32.0,0.0,1.0,19.0,4.0,8.0,0.0,0.0,0.0,21.0,0.0,3.0,2.0,30.0,18.0,5.0
2016-11-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,9.0,0.0,5.0,1.0,0.0,3.0,4.0,8.0,1.0,0.0,19.0,0.0,0.0,14.0,6.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,0.0,3.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,30.0,0.0,1.0,16.0,8.0,3.0,0.0,0.0,0.0,16.0,0.0,11.0,3.0,27.0,14.0,5.0
2016-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,11.0,11.0,1.0,6.0,0.0,1.0,6.0,1.0,23.0,1.0,0.0,21.0,0.0,0.0,21.0,14.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,10.0,0.0,0.0,16.0,4.0,0.0,0.0,15.0,1.0,0.0,0.0,57.0,0.0,0.0,21.0,16.0,3.0,0.0,1.0,0.0,11.0,0.0,20.0,2.0,35.0,23.0,0.0
2016-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,10.0,1.0,13.0,9.0,1.0,5.0,0.0,2.0,5.0,2.0,20.0,1.0,3.0,24.0,0.0,0.0,20.0,5.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,4.0,11.0,17.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,22.0,0.0,0.0,18.0,3.0,0.0,0.0,39.0,4.0,0.0,0.0,49.0,0.0,1.0,22.0,13.0,4.0,0.0,0.0,0.0,18.0,0.0,14.0,7.0,80.0,46.0,20.0
2016-11-09,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,10.0,7.0,2.0,4.0,0.0,0.0,3.0,1.0,19.0,1.0,2.0,18.0,0.0,0.0,15.0,4.0,0.0,5.0,2.0,2.0,3.0,0.0,0.0,0.0,8.0,0.0,1.0,7.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,18.0,1.0,0.0,3.0,2.0,0.0,0.0,11.0,2.0,0.0,0.0,36.0,0.0,1.0,16.0,5.0,4.0,0.0,2.0,0.0,2.0,0.0,4.0,5.0,43.0,27.0,8.0
2016-11-10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,6.0,12.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,1.0,19.0,0.0,0.0,9.0,2.0,0.0,8.0,2.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,20.0,0.0,0.0,13.0,4.0,3.0,0.0,1.0,0.0,3.0,0.0,6.0,5.0,13.0,3.0,2.0
