,close,high,low,open,time,volumefrom,volumeto
0,0.0,0.0,0.0,0.0,2017-11-20 03:00:00+00:00,0.0,0.0
1,0.0,0.0,0.0,0.0,2017-11-20 04:00:00+00:00,0.0,0.0
2,0.0,0.0,0.0,0.0,2017-11-20 05:00:00+00:00,0.0,0.0
3,0.0,0.0,0.0,0.0,2017-11-20 06:00:00+00:00,0.0,0.0
4,0.0,0.0,0.0,0.0,2017-11-20 07:00:00+00:00,0.0,0.0
5,0.0,0.0,0.0,0.0,2017-11-20 08:00:00+00:00,0.0,0.0
6,0.0,0.0,0.0,0.0,2017-11-20 09:00:00+00:00,0.0,0.0
7,0.0,0.0,0.0,0.0,2017-11-20 10:00:00+00:00,0.0,0.0
8,0.0,0.0,0.0,0.0,2017-11-20 11:00:00+00:00,0.0,0.0
9,0.0,0.0,0.0,0.0,2017-11-20 12:00:00+00:00,0.0,0.0
10,0.0,0.0,0.0,0.0,2017-11-20 13:00:00+00:00,0.0,0.0
11,0.0,0.0,0.0,0.0,2017-11-20 14:00:00+00:00,0.0,0.0
12,0.0,0.0,0.0,0.0,2017-11-20 15:00:00+00:00,0.0,0.0
13,0.0,0.0,0.0,0.0,2017-11-20 16:00:00+00:00,0.0,0.0
14,0.0,0.0,0.0,0.0,2017-11-20 17:00:00+00:00,0.0,0.0
15,0.0,0.0,0.0,0.0,2017-11-20 18:00:00+00:00,0.0,0.0
16,0.0,0.0,0.0,0.0,2017-11-20 19:00:00+00:00,0.0,0.0
17,0.0,0.0,0.0,0.0,2017-11-20 20:00:00+00:00,0.0,0.0
18,0.0,0.0,0.0,0.0,2017-11-20 21:00:00+00:00,0.0,0.0
19,0.0,0.0,0.0,0.0,2017-11-20 22:00:00+00:00,0.0,0.0
20,0.0,0.0,0.0,0.0,2017-11-20 23:00:00+00:00,0.0,0.0
21,0.0,0.0,0.0,0.0,2017-11-21 00:00:00+00:00,0.0,0.0
22,0.0,0.0,0.0,0.0,2017-11-21 01:00:00+00:00,0.0,0.0
23,0.0,0.0,0.0,0.0,2017-11-21 02:00:00+00:00,0.0,0.0
24,0.0,0.0,0.0,0.0,2017-11-21 03:00:00+00:00,0.0,0.0
25,0.0,0.0,0.0,0.0,2017-11-21 04:00:00+00:00,0.0,0.0
26,0.0,0.0,0.0,0.0,2017-11-21 05:00:00+00:00,0.0,0.0
27,0.0,0.0,0.0,0.0,2017-11-21 06:00:00+00:00,0.0,0.0
28,0.0,0.0,0.0,0.0,2017-11-21 07:00:00+00:00,0.0,0.0
29,0.0,0.0,0.0,0.0,2017-11-21 08:00:00+00:00,0.0,0.0
30,0.0,0.0,0.0,0.0,2017-11-21 09:00:00+00:00,0.0,0.0
31,0.0,0.0,0.0,0.0,2017-11-21 10:00:00+00:00,0.0,0.0
32,0.5145,0.52,0.5094,0.5094,2017-11-21 11:00:00+00:00,19205.81,9856.78
33,0.7,0.7,0.5145,0.5145,2017-11-21 12:00:00+00:00,6.75,4.26
34,0.51,0.7,0.51,0.7,2017-11-21 13:00:00+00:00,521.45,267.36
35,0.5163,0.5163,0.51,0.51,2017-11-21 14:00:00+00:00,621.46,320.1
36,0.5167,0.5822,0.5163,0.5163,2017-11-21 15:00:00+00:00,15457.61,8520.81
37,0.5167,0.5167,0.5167,0.5167,2017-11-21 16:00:00+00:00,626.0,323.43
38,0.512,0.5167,0.512,0.5167,2017-11-21 17:00:00+00:00,960.0,491.53
39,0.48100000000000004,0.512,0.48100000000000004,0.512,2017-11-21 18:00:00+00:00,492.65,238.59
40,0.5129,0.5129,0.48100000000000004,0.48100000000000004,2017-11-21 19:00:00+00:00,292.49,150.0
41,0.5129,0.5129,0.5129,0.5129,2017-11-21 20:00:00+00:00,0.0,0.0
42,0.5079,0.5129,0.5079,0.5129,2017-11-21 21:00:00+00:00,19.45,9.88
43,0.5079,0.5079,0.5079,0.5079,2017-11-21 22:00:00+00:00,0.0,0.0
44,0.5079,0.5079,0.5079,0.5079,2017-11-21 23:00:00+00:00,0.0,0.0
45,0.5021,0.5079,0.5021,0.5079,2017-11-22 00:00:00+00:00,30.0,15.06
46,0.5187,0.5487,0.5021,0.5021,2017-11-22 01:00:00+00:00,33938.48,17802.63
47,0.5183,0.5187,0.5037,0.5187,2017-11-22 02:00:00+00:00,7636.76,3858.9
48,0.5076,0.5183,0.5076,0.5183,2017-11-22 03:00:00+00:00,945.55,480.0
49,0.4516,0.5076,0.4516,0.5076,2017-11-22 04:00:00+00:00,9670.36,4808.57
50,0.4645,0.4775,0.4516,0.4516,2017-11-22 05:00:00+00:00,1995.72,935.97
51,0.4535,0.4645,0.4535,0.4645,2017-11-22 06:00:00+00:00,2501.63,1141.24
52,0.4547,0.4547,0.4535,0.4535,2017-11-22 07:00:00+00:00,2.0,0.9094
53,0.4635,0.4635,0.4547,0.4547,2017-11-22 08:00:00+00:00,7802.88,3569.43
54,0.4579,0.4635,0.4579,0.4635,2017-11-22 09:00:00+00:00,1186.77,543.41
55,0.4579,0.4579,0.4579,0.4579,2017-11-22 10:00:00+00:00,0.0,0.0
56,0.4579,0.4579,0.4579,0.4579,2017-11-22 11:00:00+00:00,0.0,0.0
57,0.4655,0.4655,0.4579,0.4579,2017-11-22 12:00:00+00:00,14217.7,6611.27
58,0.4655,0.4655,0.4655,0.4655,2017-11-22 13:00:00+00:00,0.0,0.0
59,0.4881,0.4881,0.4655,0.4655,2017-11-22 14:00:00+00:00,1192.24,570.62
60,0.4882,0.4882,0.4881,0.4881,2017-11-22 15:00:00+00:00,20.0,9.76
61,0.4882,0.4882,0.4882,0.4882,2017-11-22 16:00:00+00:00,210.23,102.63
62,0.4882,0.4882,0.4882,0.4882,2017-11-22 17:00:00+00:00,0.0,0.0
63,0.4882,0.4882,0.4882,0.4882,2017-11-22 18:00:00+00:00,26.0,12.69
64,0.4882,0.4882,0.4882,0.4882,2017-11-22 19:00:00+00:00,0.0,0.0
65,0.4273,0.4882,0.4273,0.4882,2017-11-22 20:00:00+00:00,766.44,327.5
66,0.4273,0.4273,0.4273,0.4273,2017-11-22 21:00:00+00:00,0.0,0.0
67,0.4273,0.4273,0.4273,0.4273,2017-11-22 22:00:00+00:00,0.0,0.0
68,0.4273,0.4273,0.4273,0.4273,2017-11-22 23:00:00+00:00,0.0,0.0
69,0.4273,0.4273,0.4273,0.4273,2017-11-23 00:00:00+00:00,0.0,0.0
70,0.4273,0.4273,0.4273,0.4273,2017-11-23 01:00:00+00:00,0.0,0.0
71,0.4273,0.4273,0.4273,0.4273,2017-11-23 02:00:00+00:00,0.0,0.0
72,0.4273,0.4273,0.4273,0.4273,2017-11-23 03:00:00+00:00,0.0,0.0
73,0.4273,0.4273,0.4273,0.4273,2017-11-23 04:00:00+00:00,0.0,0.0
74,0.4273,0.4273,0.4273,0.4273,2017-11-23 05:00:00+00:00,0.0,0.0
75,0.12,0.4273,0.12,0.4273,2017-11-23 06:00:00+00:00,1147.72,137.73
76,0.12,0.12,0.12,0.12,2017-11-23 07:00:00+00:00,0.0,0.0
77,0.4,0.4,0.12,0.12,2017-11-23 08:00:00+00:00,2.0,0.8
78,0.4,0.4,0.4,0.4,2017-11-23 09:00:00+00:00,0.0,0.0
79,0.4,0.4,0.4,0.4,2017-11-23 10:00:00+00:00,0.0,0.0
80,0.4,0.4,0.4,0.4,2017-11-23 11:00:00+00:00,0.0,0.0
81,0.4,0.78,0.4,0.4,2017-11-23 12:00:00+00:00,8.0,5.4
82,0.4,0.4,0.4,0.4,2017-11-23 13:00:00+00:00,0.0,0.0
83,0.4,0.4,0.4,0.4,2017-11-23 14:00:00+00:00,0.0,0.0
84,0.4,0.4,0.4,0.4,2017-11-23 15:00:00+00:00,0.0,0.0
85,0.504,0.504,0.4,0.4,2017-11-23 16:00:00+00:00,4.0,2.01
86,0.504,0.504,0.504,0.504,2017-11-23 17:00:00+00:00,0.0,0.0
87,0.504,0.504,0.504,0.504,2017-11-23 18:00:00+00:00,0.0,0.0
88,0.504,0.504,0.504,0.504,2017-11-23 19:00:00+00:00,0.0,0.0
89,0.504,0.504,0.504,0.504,2017-11-23 20:00:00+00:00,0.0,0.0
90,0.504,0.504,0.504,0.504,2017-11-23 21:00:00+00:00,0.0,0.0
